,Category,Date,AmountIn,AmountOut
534,Employment,2023-04-12,1313.06,0.0
535,Health,2023-04-13,0.0,25.01
536,Travel,2023-04-13,0.0,221.45
537,Transfers,2023-04-14,0.0,530.51
538,Groceries,2023-04-14,0.0,159.66
539,Transfers,2023-04-14,1105.6,0.0
540,Travel,2023-04-14,0.0,100.45
541,Transfers,2023-04-14,530.51,0.0
542,Transfers,2023-04-14,0.0,5.75
543,Transfers,2023-04-14,5.75,0.0
544,Transfers,2023-04-14,0.0,1105.6
545,Restaurants,2023-04-16,0.0,13.66
546,Restaurants,2023-04-18,0.0,39.93
547,Investments,2023-04-19,0.0,5000.0
548,Reimbursements,2023-04-19,1200.0,0.0
549,Reimbursements,2023-04-19,1000.0,0.0
550,Restaurants,2023-04-19,0.0,8.86
551,Reimbursements,2023-04-21,193.0,0.0
552,Restaurants,2023-04-21,0.0,50.24
553,Groceries,2023-04-24,0.0,8.65
554,Groceries,2023-04-24,0.0,6.84
555,Misc,2023-04-25,0.0,15.74
556,Employment,2023-04-26,1091.71,0.0
557,Transfers,2023-04-27,139.89,0.0
558,Transfers,2023-04-27,0.0,139.89
559,Transfers,2023-04-27,0.0,2000.0
560,Restaurants,2023-04-27,0.0,5.5
561,Transfers,2023-04-27,1000.0,0.0
562,Transfers,2023-04-27,0.0,1000.0
563,Rent & Utilities,2023-04-27,0.0,5.75
564,Health,2023-04-27,0.0,25.01
565,Subsidiary,2023-04-28,0.04,0.0
566,Shopping,2023-04-28,0.0,74.75
567,Subsidiary,2023-04-28,17.05,0.0
568,Restaurants,2023-04-28,0.0,16.38
569,Subsidiary,2023-04-30,0.04,0.0
570,Reimbursements,2023-04-30,15.74,0.0
571,Rent & Utilities,2023-05-01,0.0,983.63
572,Transfers,2023-05-01,0.0,100.0
573,Transfers,2023-05-01,0.0,100.0
574,Transfers,2023-05-01,0.0,2000.0
575,Misc,2023-05-01,41.6,0.0
576,Travel,2023-05-01,0.0,45.99
577,Transfers,2023-05-01,720.0,0.0
578,Home & Office,2023-05-02,0.0,61.94
579,Home & Office,2023-05-02,0.0,7.61
580,Groceries,2023-05-03,0.0,3.29
581,Health,2023-05-03,0.0,172.86
582,Restaurants,2023-05-03,0.0,61.1
583,Transfers,2023-05-04,0.0,53.74
584,Home & Office,2023-05-04,0.0,188.06
585,Transfers,2023-05-04,53.74,0.0
586,Misc,2023-05-04,495.4,0.0
587,Travel,2023-05-04,0.0,82.0
588,Reimbursements,2023-05-05,125.0,0.0
589,Shopping,2023-05-05,0.0,128.6
590,Health,2023-05-05,0.0,60.2
591,Investments,2023-05-05,0.0,13000.0
592,Health,2023-05-05,0.0,4.3
593,Subsidiary,2023-05-05,3.38,0.0
594,Entertainment,2023-05-06,0.0,43.45
595,Misc,2023-05-08,0.0,60.0
596,Transfers,2023-05-08,0.0,364.21
597,Reimbursements,2023-05-08,2000.0,0.0
598,Misc,2023-05-08,48.0,0.0
599,Restaurants,2023-05-08,0.0,97.32
600,Entertainment,2023-05-08,0.0,140.0
601,Restaurants,2023-05-08,0.0,25.25
602,Transfers,2023-05-09,364.21,0.0
603,Investments,2023-05-09,0.0,25000.0
604,Entertainment,2023-05-10,0.0,36.75
605,Home & Office,2023-05-11,0.0,4.49
606,Home & Office,2023-05-11,0.0,14.93
607,Health,2023-05-11,0.0,25.01
608,Health,2023-05-11,0.0,625.0
609,Restaurants,2023-05-11,0.0,37.7
610,Subsidiary,2023-05-11,14.69,0.0
611,Transfers,2023-05-12,831.53,0.0
612,Employment,2023-05-12,1543.35,0.0
613,Subsidiary,2023-05-12,350.0,0.0
614,Health,2023-05-12,0.0,4.3
615,Transfers,2023-05-12,0.0,831.53
616,Restaurants,2023-05-15,0.0,104.37
617,Restaurants,2023-05-15,0.0,16.8
